date,close_last_nvidia,close_last_sp500,close_last_apple,close_last_amd
2022-09-20,$13.176,3855.93,$156.90,$75.25
2022-09-19,$13.382,3899.89,$154.48,$76.77
2022-09-16,$13.198,3873.33,$150.70,$76.51
2022-09-15,$12.929,3901.35,$152.37,$76.66
2022-09-14,$13.128,3946.01,$155.31,$77.45
2022-09-13,$13.131,3932.69,$153.84,$77.03
2022-09-12,$14.505,4110.41,$163.43,$84.64
2022-09-09,$14.387,4067.36,$157.37,$85.45
2022-09-08,$13.99,4006.18,$154.46,$82.78
2022-09-07,$13.714,3979.87,$155.96,$79.61
2022-09-06,$13.465,3908.19,$154.53,$78.72
2022-09-02,$13.647,3924.26,$155.81,$80.24
2022-09-01,$13.937,3966.85,$157.96,$82.33
2022-08-31,$15.094,3955.00,$157.22,$84.87
2022-08-30,$15.468,3986.16,$158.91,$86.94
2022-08-29,$15.801,4030.61,$161.38,$88.49
2022-08-26,$16.26,4057.66,$163.62,$91.18
2022-08-25,$17.913,4199.12,$170.03,$97.18
2022-08-24,$17.222,4140.77,$167.53,$92.73
2022-08-23,$17.181,4128.73,$167.23,$92.49
2022-08-22,$17.034,4137.99,$167.57,$92.84
2022-08-19,$17.849,4228.48,$171.52,$95.95
2022-08-18,$18.773,4283.74,$174.15,$100.44
2022-08-17,$18.335,4274.04,$174.55,$98.27
2022-08-16,$18.879,4305.20,$173.03,$100.20
2022-08-15,$19.032,4297.14,$173.19,$101.01
2022-08-12,$18.709,4280.15,$172.10,$100.83
2022-08-11,$17.942,4207.27,$168.49,$98.12
2022-08-10,$18.097,4210.24,$169.24,$99.05
2022-08-09,$17.086,4122.47,$164.92,$95.54
2022-08-08,$17.793,4140.06,$164.87,$100.07
2022-08-05,$18.989,4145.19,$165.35,$102.31
2022-08-04,$19.215,4151.94,$165.81,$103.91
2022-08-03,$18.893,4155.17,$166.13,$98.09
2022-08-02,$18.526,4091.19,$160.01,$99.29
2022-08-01,$18.441,4118.63,$161.51,$96.78
2022-07-29,$18.163,4130.29,$162.51,$94.47
2022-07-28,$17.984,4072.43,$157.35,$91.67
2022-07-27,$17.79,4023.61,$156.79,$89.82
2022-07-26,$16.533,3921.05,$151.60,$85.25
2022-07-25,$17.024,3966.84,$152.95,$87.54
2022-07-22,$17.319,3961.63,$154.09,$88.10
2022-07-21,$18.05,3998.95,$155.35,$91.09
2022-07-20,$17.807,3959.90,$153.04,$89.43
2022-07-19,$16.992,3936.69,$151.00,$85.88
2022-07-18,$16.101,3830.85,$147.07,$81.43
2022-07-15,$15.762,3863.16,$150.17,$81.11
2022-07-14,$15.372,3790.38,$148.47,$78.60
2022-07-13,$15.164,3801.78,$145.49,$77.52
2022-07-12,$15.082,3818.80,$145.86,$76.36
